Original	Obfused	Corrected
""""	""""	""""
She	She	She
was	was	was
mightily	mightily	_UNK
pleased	pleased	pleased
to	to	to
have	have	have
your	your	your
message	message	message
,	,	,
when	when	when
I	I	I
gave	gave	gave
it	it	it
her	her	her
.	.	.
Not	Not	Not
that	that	that
she	she	she
showed	showed	showed
she	she	she
was	was	was
pleased	pleased	pleased
,	,	,
but	but	but
I	I	I
suppose	suppose	suppose
she	she	she
was	was	was
.	.	.
""""	""""	""""
The	A	A
allusion	allusion	allusion
served	served	served
as	as	as
a	a	a
timely	timely	timely
reminder	reminder	reminder
to	to	to
Darnay	Darnay	_UNK
that	that	that
this	this	this
disagreeable	disagreeable	disagreeable
companion	companion	companion
had	had	had
,	,	,
of	of	of
his	his	his
own	own	own
free	free	free
will	will	will
,	,	,
assisted	assisted	assisted
him	him	him
in	in	in
the	the	the
strait	strait	_UNK
of	of	of
the	the	the
day	day	day
.	.	.
He	He	He
turned	turned	turned
the	the	the
dialogue	dialogue	dialogue
to	to	to
that	that	that
point	point	point
,	,	,
and	and	and
thanked	thanked	_UNK
him	him	him
for	for	for
it	it	it
.	.	.
""""	""""	""""
I	I	I
neither	neither	neither
want	want	want
any	any	any
thanks	thanks	thanks
,	,	,
nor	nor	nor
merit	merit	merit
any	any	any
,	,	,
""""	""""	""""
was	was	was
the	the	the
careless	careless	careless
rejoinder	rejoinder	rejoinder
.	.	.
""""	""""	""""
It	It	It
was	was	was
nothing	nothing	nothing
to	to	to
do	do	do
,	,	,
in	in	in
the	the	the
first	first	first
place	place	place
;	;	;
and	and	and
I	I	I
don	don	don
'	'	'
t	t	t
know	know	know
why	why	why
I	I	I
did	did	did
it	it	it
,	,	,
in	in	in
the	the	a
second	second	second
.	.	.
Mr	Mr	Mr
.	.	.
Darnay	Darnay	_UNK
,	,	,
let	let	let
me	me	me
ask	ask	ask
you	you	you
a	a	the
question	question	question
.	.	.
""""	""""	""""
""""	""""	""""
Willingly	Willingly	_UNK
,	,	,
and	and	and
a	the	a
small	small	small
return	return	return
for	for	for
your	your	your
good	good	good
offices	offices	offices
.	.	.
""""	""""	""""
""""	""""	""""
Do	Do	Do
you	you	you
think	think	think
I	I	I
particularly	particularly	particularly
like	like	like
you	you	you
?	?	?
""""	""""	""""
""""	""""	""""
Really	Really	'
,	,	,
Mr	Mr	Mr
.	.	.
Carton	Carton	_UNK
,	,	,
""""	""""	""""
returned	returned	returned
the	the	the
other	other	other
,	,	,
oddly	oddly	_UNK
disconcerted	disconcerted	disconcerted
,	,	,
""""	""""	""""
I	I	I
have	have	have
not	not	not
asked	asked	asked
myself	myself	myself
the	the	the
question	question	question
.	.	.
""""	""""	""""
""""	""""	""""
But	But	But
ask	ask	ask
yourself	yourself	yourself
the	the	the
question	question	question
now	now	now
.	.	.
""""	""""	""""
""""	""""	""""
You	You	You
have	have	have
acted	acted	acted
as	as	as
if	if	if
you	you	you
do	do	do
;	;	;
but	but	but
I	I	I
don	don	don
'	'	'
t	t	t
think	think	think
you	you	you
do	do	do
.	.	.
""""	""""	""""
""""	""""	""""
_I_	_I_	_I_
don	don	don
'	'	'
t	t	t
think	think	think
I	I	I
do	do	do
,	,	,
""""	""""	""""
said	said	said
Carton	Carton	_UNK
.	.	.
""""	""""	""""
I	I	I
begin	begin	begin
to	to	to
have	have	have
a	the	a
very	very	very
good	good	good
opinion	opinion	opinion
of	of	of
your	your	your
understanding	understanding	understanding
.	.	.
""""	""""	""""
""""	""""	""""
Nevertheless	Nevertheless	_UNK
,	,	,
""""	""""	""""
pursued	pursued	pursued
Darnay	Darnay	_UNK
,	,	,
rising	rising	rising
to	to	to
ring	ring	ring
the	a	the
bell	bell	bell
,	,	,
""""	""""	""""
there	there	there
is	is	is
nothing	nothing	nothing
in	in	in
that	that	that
,	,	,
I	I	I
